  Time     N    Nc  N-Nc
     1     1     1     0
     2     1     1     0
     3     1     1     0
     4     1     1     0
     5     1     1     0
     6     1     1     0
     7     1     1     0
     8     1     1     0
     9     1     1     0
    10     1     1     0
    11     2     2     0
    12     2     2     0
    13     2     2     0
    14     2     2     0
    15     2     2     0
    16     2     2     0
    17     2     2     0
    18     2     2     0
    19     2     2     0
    20     2     2     0
    21     2     2     0
    22     2     2     0
    23     2     2     0
    24     3     3     0
    25     3     3     0
    26     3     3     0
    27     3     3     0
    28     3     3     0
    29     3     3     0
    30     3     3     0
    31     3     3     0
    32     3     3     0
    33     4     4     0
    34     6     6     0
    35     6     6     0
    36     6     6     0
    37     6     6     0
    38     6     6     0
    39     6     6     0
    40     6     6     0
    41     6     6     0
    42     8     8     0
    43     9     9     0
    44    10    10     0
    45    10     9     1
    46    10     9     1
    47    11    10     1
    48    11    10     1
    49    11    10     1
    50    14    11     3
    51    16    12     4
    52    18    13     5
    53    18    11     7
    54    18     9     9
    55    18     8    10
    56    18     8    10
    57    20    10    10
    58    21    11    10
    59    22    11    11
    60    24    10    14
    61    26    10    16
    62    26     7    19
    63    26     7    19
    64    26     7    19
    65    28     9    19
    66    29    10    19
    67    30    10    20
    68    30    10    20
    69    30     9    21
    70    31    10    21
    71    31    10    21
    72    31    10    21
    73    32    10    22
    74    34    11    23
    75    37    13    24
    76    38    11    27
    77    38     9    29
    78    38     8    30
    79    38     8    30
    80    39     9    30
    81    41    11    30
    82    42    11    31
    83    43    10    33
    84    46    10    36
    85    46     7    39
    86    46     7    39
    87    46     7    39
    88    47     8    39
    89    48     9    39
    90    50    11    39
    91    50    10    40
    92    50     9    41
    93    50     9    41
    94    51    10    41
    95    51    10    41
    96    51    10    41
    97    54    11    43
    98    56    12    44
    99    58    12    46
   100    58    10    48
   101    58     8    50
   102    58     8    50
   103    59     9    50
   104    61    11    50
   105    62    11    51
   106    63    11    52
   107    66    11    55
   108    66     9    57
   109    66     7    59
   110    66     7    59
   111    66     7    59
   112    68     9    59
   113    69    10    59
   114    70    10    60
   115    70     9    61
   116    70     9    61
   117    71    10    61
   118    71    10    61
   119    71    10    61
   120    74    11    63
   121    76    12    64
   122    78    13    65
   123    78    11    67
   124    78     9    69
   125    78     8    70
   126    78     8    70
   127    80    10    70
   128    81    11    70
   129    82    11    71
   130    84    10    74
   131    86    10    76
   132    86     7    79
   133    86     7    79
   134    86     7    79
   135    88     9    79
   136    89    10    79
   137    90    10    80
   138    90    10    80
   139    90     9    81
   140    91    10    81
   141    91    10    81
   142    91    10    81
   143    92    10    82
   144    94    11    83
   145    97    13    84
   146    98    11    87
   147    98     9    89
   148    98     8    90
   149    98     8    90
   150    99     9    90
   151   101    11    90
   152   102    11    91
   153   103    10    93
   154   106    10    96
   155   106     7    99
   156   106     7    99
   157   106     7    99
   158   107     8    99
   159   108     9    99
   160   110    11    99
   161   110    10   100
   162   110     9   101
   163   110     9   101
   164   111    10   101
   165   111    10   101
   166   111    10   101
   167   114    11   103
   168   116    12   104
   169   118    12   106
   170   118    10   108
   171   118     8   110
   172   118     8   110
   173   119     9   110
   174   121    11   110
   175   122    11   111
   176   123    11   112
   177   126    11   115
   178   126     9   117
   179   126     7   119
   180   126     7   119
   181   126     7   119
   182   128     9   119
   183   129    10   119
   184   130    10   120
   185   130     9   121
   186   130     9   121
   187   131    10   121
   188   131    10   121
   189   131    10   121
   190   134    11   123
   191   136    12   124
   192   138    13   125
   193   138    11   127
   194   138     9   129
   195   138     8   130
   196   138     8   130
   197   140    10   130
   198   141    11   130
   199   142    11   131
   200   144    10   134
   201   146    10   136
   202   146     7   139
   203   146     7   139
   204   146     7   139
   205   148     9   139
   206   149    10   139
   207   150    10   140
   208   150    10   140
   209   150     9   141
   210   151    10   141
   211   151    10   141
   212   151    10   141
   213   152    10   142
   214   154    11   143
   215   157    13   144
   216   158    11   147
   217   158     9   149
   218   158     8   150
   219   158     8   150
   220   159     9   150
   221   161    11   150
   222   162    11   151
   223   163    10   153
   224   166    10   156
   225   166     7   159
   226   166     7   159
   227   166     7   159
   228   167     8   159
   229   168     9   159
   230   170    11   159
   231   170    10   160
   232   170     9   161
   233   170     9   161
   234   171    10   161
   235   171    10   161
   236   171    10   161
   237   174    11   163
   238   176    12   164
   239   178    12   166
   240   178    10   168
   241   178     8   170
   242   178     8   170
   243   179     9   170
   244   181    11   170
   245   182    11   171
   246   183    11   172
   247   186    11   175
   248   186     9   177
   249   186     7   179
   250   186     7   179
   251   186     7   179
   252   188     9   179
   253   189    10   179
   254   190    10   180
   255   190     9   181
   256   190     9   181
   257   191    10   181
   258   191    10   181
   259   191    10   181
   260   194    11   183
   261   196    12   184
   262   198    13   185
   263   198    11   187
   264   198     9   189
   265   198     8   190
   266   198     8   190
   267   200    10   190
   268   201    11   190
   269   202    11   191
   270   204    10   194
   271   206    10   196
   272   206     7   199
   273   206     7   199
   274   206     7   199
   275   208     9   199
   276   209    10   199
   277   210    10   200
   278   210    10   200
   279   210     9   201
   280   211    10   201
   281   211    10   201
   282   211    10   201
   283   212    10   202
   284   214    11   203
   285   217    13   204
   286   218    11   207
   287   218     9   209
   288   218     8   210
   289   218     8   210
   290   219     9   210
   291   221    11   210
   292   222    11   211
   293   223    10   213
   294   226    10   216
   295   226     7   219
   296   226     7   219
   297   226     7   219
   298   227     8   219
   299   228     9   219
   300   230    11   219
