  Time     J     Dist    Inhib     Conc     Size
     1     1   7.3125   5.0000   0.6838   7.3315
     2     1   7.5048   5.0000   0.6662   7.5243
     3     1   7.7012   5.0000   0.6493   7.7210
     4     1   7.9017   5.0000   0.6328   7.9220
     5     1   8.1064   5.0000   0.6168   8.1270
     6     1   8.3152   5.0000   0.6013   8.3363
     7     1   8.5283   5.0000   0.5863   8.5499
     8     1   8.7457   5.0000   0.5717   8.7677
     9     1   8.9674   5.0000   0.5576   8.9898
    10     1   9.8123   5.0000   0.5096   9.9123
    11     1   5.1056   5.0000   0.9793   5.1199
    11     2  10.3271   2.0000   0.3841   5.2364
    12     1   5.2501   5.0000   0.9524   5.2647
    12     2  10.7680   2.0000   0.3634   5.5334
    13     1   5.3978   5.0000   0.9263   5.4127
    13     2  11.2219   2.0000   0.3443   5.8404
    14     1   5.5485   5.0000   0.9011   5.5638
    14     2  11.6888   2.0000   0.3265   6.1571
    15     1   5.7026   5.0000   0.8768   5.7181
    15     2  12.1684   2.0000   0.3101   6.4833
    16     1   5.8599   5.0000   0.8533   5.8758
    16     2  12.6605   2.0000   0.2948   6.8185
    17     1   6.0207   5.0000   0.8305   6.0370
    17     2  13.1648   2.0000   0.2806   7.1626
    18     1   6.1850   5.0000   0.8084   6.2016
    18     2  13.6811   2.0000   0.2674   7.5151
    19     1   6.3529   5.0000   0.7870   6.3699
    19     2  14.2093   2.0000   0.2551   7.8758
    20     1   6.5245   5.0000   0.7663   6.5418
    20     2  14.7489   2.0000   0.2437   8.2443
    21     1   6.6998   5.0000   0.7463   6.7175
    21     2  15.2998   2.0000   0.2330   8.6202
    22     1   6.8789   5.0000   0.7269   6.8970
    22     2  15.8617   2.0000   0.2231   9.0033
    23     1   7.0619   5.0000   0.7080   7.0804
    23     2  16.9837   2.0000   0.2020  10.0033
    24     1   7.2488   5.0000   0.6898   7.2677
    24     2  12.5724   1.2000   0.2262   5.3430
    24     3  17.9638   0.8000   0.1494   5.3974
    25     1   7.4398   5.0000   0.6721   7.4591
    25     2  13.1528   1.2000   0.2108   5.7333
    25     3  18.9941   0.8000   0.1379   5.8472
    26     1   7.6348   5.0000   0.6549   7.6545
    26     2  13.7482   1.2000   0.1969   6.1343
    26     3  20.0489   0.8000   0.1278   6.3064
    27     1   7.8339   5.0000   0.6383   7.8540
    27     2  14.3577   1.2000   0.1845   6.5452
    27     3  21.1264   0.8000   0.1189   6.7742
    28     1   8.0372   5.0000   0.6221   8.0577
    28     2  14.9807   1.2000   0.1733   6.9654
    28     3  22.2250   0.8000   0.1111   7.2498
    29     1   8.2446   5.0000   0.6065   8.2656
    29     2  15.6166   1.2000   0.1632   7.3942
    29     3  23.3435   0.8000   0.1041   7.7322
    30     1   8.4563   5.0000   0.5913   8.4777
    30     2  16.2646   1.2000   0.1541   7.8309
    30     3  24.4805   0.8000   0.0979   8.2210
    31     1   8.6723   5.0000   0.5766   8.6941
    31     2  16.9244   1.2000   0.1458   8.2750
    31     3  25.6350   0.8000   0.0923   8.7155
    32     1   8.8925   5.0000   0.5623   8.9147
    32     2  17.5954   1.2000   0.1382   8.7260
    32     3  26.9555   0.8000   0.0859   9.4148
    33     1   9.5042   5.0000   0.5261   9.6042
    33     2  18.8497   1.2000   0.1298   9.3455
    33     3  24.0559   0.4800   0.0940   5.1557
    33     4  29.2181   0.3200   0.0626   5.1655
    34     1   5.0587   5.0000   0.9884   5.0729
    34     2  10.1893   2.0000   0.3909   5.1452
    34     3  15.2858   0.7200   0.1421   5.1127
    34     4  20.4029   0.4800   0.0946   5.1216
    34     5  26.0577   0.4800   0.0856   5.6557
    34     6  31.7513   0.3200   0.0567   5.6966
    35     1   5.2023   5.0000   0.9611   5.2168
    35     2  10.6260   2.0000   0.3697   5.4390
    35     3  16.1788   0.7200   0.1304   5.5691
    35     4  21.7956   0.4800   0.0862   5.6210
    35     5  27.9582   0.4800   0.0785   6.1634
    35     6  34.1889   0.3200   0.0518   6.2335
    36     1   5.3489   5.0000   0.9348   5.3637
    36     2  11.0758   2.0000   0.3501   5.7429
    36     3  17.0948   0.7200   0.1202   6.0352
    36     4  23.2190   0.4800   0.0790   6.1282
    36     5  29.8961   0.4800   0.0724   6.6778
    36     6  36.6688   0.3200   0.0476   6.7754
    37     1   5.4986   5.0000   0.9093   5.5138
    37     2  11.5386   2.0000   0.3320   6.0566
    37     3  18.0325   0.7200   0.1114   6.5100
    37     4  24.6709   0.4800   0.0728   6.6422
    37     5  31.8683   0.4800   0.0672   7.1981
    37     6  39.1874   0.3200   0.0440   7.3216
    38     1   5.6516   5.0000   0.8847   5.6671
    38     2  12.0141   2.0000   0.3151   6.3798
    38     3  18.9909   0.7200   0.1037   6.9926
    38     4  26.1493   0.4800   0.0675   7.1621
    38     5  33.8723   0.4800   0.0626   7.7235
    38     6  41.7413   0.3200   0.0409   7.8714
    39     1   5.8079   5.0000   0.8609   5.8237
    39     2  12.5023   2.0000   0.2995   6.7123
    39     3  19.9688   0.7200   0.0969   7.4821
    39     4  27.6525   0.4800   0.0629   7.6872
    39     5  35.9055   0.4800   0.0585   8.2535
    39     6  44.3277   0.3200   0.0382   8.4245
    40     1   5.9675   5.0000   0.8379   5.9837
    40     2  13.0027   2.0000   0.2849   7.0536
    40     3  20.9653   0.7200   0.0908   7.9779
    40     4  29.1789   0.4800   0.0588   8.2169
    40     5  37.9661   0.4800   0.0550   8.7876
    40     6  46.9444   0.3200   0.0359   8.9804
    41     1   6.1306   5.0000   0.8156   6.1472
    41     2  13.5153   2.0000   0.2714   7.4035
    41     3  21.9796   0.7200   0.0854   8.4794
    41     4  30.7272   0.4800   0.0552   8.7507
    41     5  40.2831   0.4800   0.0505   9.6023
    41     6  50.2192   0.3200   0.0325   9.9361
    42     1   6.2973   5.0000   0.7940   6.3142
    42     2  14.0397   2.0000   0.2589   7.7616
    42     3  23.0109   0.7200   0.0806   8.9860
    42     4  32.4809   0.4800   0.0510   9.5191
    42     5  37.7956   0.2880   0.0552   5.2683
    42     6  43.0723   0.1920   0.0368   5.2788
    42     7  48.5350   0.1920   0.0355   5.4629
    42     8  54.0079   0.1280   0.0236   5.4743
    43     1   6.4677   5.0000   0.7731   6.4849
    43     2  14.5757   2.0000   0.2472   8.1277
    43     3  24.4495   0.7200   0.0732   9.9369
    43     4  29.7191   0.2880   0.0557   5.2231
    43     5  34.9486   0.1920   0.0371   5.2315
    43     6  40.7571   0.2880   0.0501   5.8070
    43     7  46.5923   0.1920   0.0332   5.8371
    43     8  52.6147   0.1920   0.0322   6.0225
    43     9  58.6606   0.1280   0.0214   6.0471
    44     1   6.6418   5.0000   0.7528   6.6594
    44     2  15.1230   2.0000   0.2363   8.5013
    44     3  20.5331   0.4320   0.0804   5.4233
    44     4  25.9770   0.2880   0.0534   5.4468
    44     5  31.7381   0.2880   0.0505   5.7614
    44     6  37.5258   0.1920   0.0335   5.7896
    44     7  43.8780   0.2880   0.0457   6.3509
    44     8  50.2755   0.1920   0.0303   6.3992
    44     9  56.8611   0.1920   0.0294   6.5857
    44    10  63.4823   0.1280   0.0195   6.6223
    45     1   6.8196   5.0000   0.7332   6.8376
    45     2  15.6814   2.0000   0.2261   8.8822
    45     3  21.6045   0.4320   0.0734   5.9363
    45     4  27.5892   0.2880   0.0485   5.9873
    45     5  33.8937   0.2880   0.0461   6.3049
    45     6  40.2433   0.1920   0.0305   6.3514
    45     7  47.1438   0.2880   0.0421   6.8992
    45     8  54.1066   0.1920   0.0278   6.9644
    45     9  61.2583   0.1920   0.0271   7.1518
    46     1   7.0013   5.0000   0.7141   7.0197
    46     2  16.5562   2.0000   0.2097   9.6365
    46     3  23.0600   0.4320   0.0675   6.4560
    46     4  29.5902   0.2880   0.0445   6.5327
    46     5  36.4428   0.2880   0.0424   6.8528
    46     6  43.3574   0.1920   0.0280   6.9163
    46     7  50.8099   0.2880   0.0389   7.4512
    46     8  58.3406   0.1920   0.0257   7.5322
    46     9  66.0610   0.1920   0.0251   7.7204
    47     1   7.1870   5.0000   0.6957   7.2058
    47     2  12.3748   1.2000   0.2322   5.2070
    47     3  17.6059   0.8000   0.1540   5.2372
    47     4  24.5786   0.4320   0.0623   6.9815
    47     5  31.6586   0.2880   0.0410   7.0823
    47     6  39.0629   0.2880   0.0392   7.4046
    47     7  46.5453   0.1920   0.0259   7.4839
    47     8  54.5531   0.2880   0.0362   8.0066
    47     9  62.6540   0.1920   0.0239   8.1023
    47    10  70.9451   0.1920   0.0233   8.2912
    48     1   7.3766   5.0000   0.6778   7.3958
    48     2  12.9499   1.2000   0.2161   5.5932
    48     3  18.6272   0.8000   0.1419   5.6833
    48     4  26.1310   0.4320   0.0579   7.5120
    48     5  33.7643   0.2880   0.0380   7.6355
    48     6  41.7238   0.2880   0.0364   7.9596
    48     7  49.7762   0.1920   0.0240   8.0538
    48     8  58.3421   0.2880   0.0338   8.5648
    48     9  67.0152   0.1920   0.0223   8.6744
    48    10  75.8790   0.1920   0.0218   8.8639
    49     1   7.5703   5.0000   0.6605   7.5899
    49     2  13.5401   1.2000   0.2017   5.9905
    49     3  19.6736   0.8000   0.1313   6.1392
    49     4  27.7128   0.4320   0.0540   8.0469
    49     5  35.9026   0.2880   0.0354   8.1919
    49     6  44.4201   0.2880   0.0340   8.5177
    49     7  53.0445   0.1920   0.0224   8.6258
    49     8  62.2150   0.2880   0.0316   9.2132
    49     9  71.6336   0.1920   0.0206   9.4185
    49    10  81.3696   0.1920   0.0199   9.7360
    50     1   7.7680   5.0000   0.6437   7.7880
    50     2  14.1448   1.2000   0.1888   6.3980
    50     3  20.7432   0.8000   0.1220   6.6041
    50     4  29.3218   0.4320   0.0506   8.5858
    50     5  38.0708   0.2880   0.0331   8.7510
    50     6  47.1489   0.2880   0.0319   9.1221
    50     7  56.4761   0.1920   0.0208   9.3272
    50     8  61.5827   0.1728   0.0345   5.0625
    50     9  66.6452   0.1152   0.0230   5.0638
    50    10  71.8261   0.1152   0.0225   5.1810
    50    11  75.8730   0.0768   0.0153   5.0093
    51     1   7.9699   5.0000   0.6274   7.9903
    51     2  14.7632   1.2000   0.1772   6.8150
    51     3  21.8346   0.8000   0.1138   7.0769
    51     4  31.0017   0.4320   0.0474   9.2195
    51     5  40.5332   0.2880   0.0305   9.5315
    51     6  45.6442   0.1728   0.0345   5.0110
    51     7  50.6552   0.1152   0.0230   5.0110
    51     8  55.7260   0.1152   0.0227   5.1280
    51     9  60.4295   0.0768   0.0153   5.0136
    51    10  66.3640   0.1728   0.0310   5.6234
    51    11  72.0003   0.1152   0.0206   5.6375
    51    12  77.7554   0.1152   0.0202   5.7552
    52     1   8.1760   5.0000   0.6115   8.1968
    52     2  15.3947   1.2000   0.1667   7.2408
    52     3  22.9462   0.8000   0.1065   7.5569
    52     4  28.0043   0.2592   0.0517   5.0637
    52     5  33.0680   0.1728   0.0345   5.0656
    52     6  38.3073   0.1728   0.0333   5.2395
    52     7  43.5508   0.1152   0.0222   5.2448
    52     8  49.1234   0.1728   0.0313   5.5716
    52     9  54.7066   0.1152   0.0208   5.5844
    52    10  60.4086   0.1152   0.0204   5.7020
    52    11  60.4295   0.0768   0.0153   5.0136
    52    12  71.6110   0.1728   0.0282   6.1880
    52    13  77.8235   0.1152   0.0187   6.2136
    53     1   8.3863   5.0000   0.5962   8.4076
    53     2  16.0386   1.2000   0.1573   7.6748
    53     3  24.0769   0.8000   0.1001   8.0435
    53     4  29.6775   0.2592   0.0467   5.6062
    53     5  35.3023   0.1728   0.0310   5.6266
    53     6  41.1038   0.1728   0.0301   5.8016
    53     7  46.9218   0.1152   0.0200   5.8192
    53     8  53.0587   0.1728   0.0284   6.1358
    53     9  59.2179   0.1152   0.0189   6.1603
    53    10  65.4962   0.1152   0.0185   6.2784
    53    11  60.4295   0.0768   0.0153   5.0136
    54     1   8.6008   5.0000   0.5813   8.6225
    54     2  16.6944   1.2000   0.1487   8.1163
    54     3  25.2253   0.8000   0.0943   8.5360
    54     4  31.3736   0.2592   0.0425   6.1537
    54     5  37.5631   0.1728   0.0282   6.1911
    54     6  43.9302   0.1728   0.0274   6.3672
    54     7  50.3252   0.1152   0.0182   6.3961
    54     8  57.0292   0.1728   0.0260   6.7031
    54     9  61.9429   0.1152   0.0179   6.4491
    55     1   8.8197   5.0000   0.5669   8.8418
    55     2  17.3615   1.2000   0.1408   8.5649
    55     3  26.3905   0.8000   0.0890   9.0339
    55     4  33.0908   0.2592   0.0390   6.7056
    55     5  39.8479   0.1728   0.0258   6.7587
    55     6  46.7835   0.1728   0.0251   6.9356
    55     7  51.0094   0.1152   0.0178   6.4539
    55     8  60.5102   0.1728   0.0239   7.2730
    56     1   9.1203   5.0000   0.5482   9.2203
    56     2  18.1945   1.2000   0.1337   9.0200
    56     3  28.1742   0.8000   0.0805  10.0339
    56     4  35.4795   0.2592   0.0360   7.2611
    56     5  42.8069   0.1728   0.0238   7.3288
    56     6  50.3133   0.1728   0.0232   7.5064
    56     7  51.0094   0.1152   0.0178   6.4539
    56     8  64.6122   0.1728   0.0222   7.8451
    57     1   5.0101   5.0000   0.9980   5.0243
    57     2  10.0344   2.0000   0.3992   5.0386
    57     3  19.9828   1.2000   0.1210  10.0200
    57     4  25.4972   0.4800   0.0887   5.4644
    57     5  30.9871   0.3200   0.0588   5.4931
    57     6  38.8040   0.2592   0.0334   7.8197
    57     7  46.7038   0.1728   0.0220   7.9011
    57     8  54.7831   0.1728   0.0215   8.0794
    57     9  51.0094   0.1152   0.0178   6.4539
    57    10  69.6561   0.1728   0.0207   8.4192
    58     1   5.1527   5.0000   0.9704   5.1671
    58     2  10.4662   2.0000   0.3774   5.3286
    58     3  15.8680   0.7200   0.1340   5.4181
    58     4  21.3211   0.4800   0.0888   5.4573
    58     5  27.2896   0.4800   0.0811   5.9693
    58     6  33.3146   0.3200   0.0536   6.0279
